PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Jared Bartlett,2574432,LB,ARI,@HOU,,,,,,,,,,,,,,,,,,198,0.00
Carlos Basham,2565863,LB,LV,@PHI,,,,,,,,,,,,,,,,,,199,0.00
Jeffrey Bassa,2574239,LB,KC,LAC,,,,,,,,,,,,,,,,,,200,0.00
Abraham Beauplan,2571180,LB,FA,Bye,,,,,,,,,,,,,,,,,,201,0.00
Quinton Bell,2562908,LB,MIA,@PIT,,,,,,,,,,,,,,,,,,202,0.00
Terrel Bernard,2567325,LB,BUF,@NE,,,,,,,,,,,,,,,,,,203,0.00
JD Bertrand,2571799,LB,ATL,@TB,,,,,,,,,,,,,,,,,,204,0.00
Tatum Bethune,2572489,LB,SF,TEN,,,,,,,,,,,,,,,,,,205,0.00
Stone Blanton,2574536,LB,FA,Bye,,,,,,,,,,,,,,,,,,206,0.00
Chris Board,2561301,LB,NYG,WAS,,,,,,,,,,,,,,,,,,207,0.00
Swayze Bozeman,2572811,LB,NYG,WAS,,,,,,,,,,,,,,,,,,208,0.00
Chris Braswell,2572540,LB,TB,ATL,,,,,,,,,,,,,,,,,,209,0.00
K.J. Britt,2566559,LB,MIA,@PIT,,,,,,,,,,,,,,,,,,210,0.00
Elliott Brown,2574475,LB,ARI,@HOU,,,,,,,,,,,,,,,,,,211,0.00
J.B. Brown,2574085,LB,FA,Bye,,,,,,,,,,,,,,,,,,212,0.00
John Bullock,2574582,LB,FA,Bye,,,,,,,,,,,,,,,,,,213,0.00
Amari Burney,2570041,LB,FA,Bye,,,,,,,,,,,,,,,,,,214,0.00
Chance Campbell,2567646,LB,PHI,LV,,,,,,,,,,,,,,,,,,215,0.00
Jaylon Carlies,2572114,LB,IND,@SEA,,,,,,,,,,,,,,,,,,216,0.00
Andre Carter II,2571207,LB,MIA,@PIT,,,,,,,,,,,,,,,,,,217,0.00
