PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Zemaiah Vaughn,2574359,DB,MIN,@DAL,,,,,,,,,,,,,,,,,,600,0.00
Malik Verdon,2573919,DB,ATL,@TB,,,,,,,,,,,,,,,,,,601,0.00
Mikey Victor,2573352,DB,FA,Bye,,,,,,,,,,,,,,,,,,602,0.00
Car'lin Vigers,2574617,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,603,0.00
Shaun Wade,2565854,DB,FA,Bye,,,,,,,,,,,,,,,,,,604,0.00
Jeremiah Walker,2574022,DB,FA,Bye,,,,,,,,,,,,,,,,,,605,0.00
K'Von Wallace,2564871,DB,HOU,ARI,,,,,,,,,,,,,,,,,,606,0.00
Levi Wallace,2560914,DB,FA,Bye,,,,,,,,,,,,,,,,,,607,0.00
Justin Walley,2574203,DB,IND,@SEA,,,,,,,,,,,,,,,,,,608,0.00
Charvarius Ward,2561417,DB,IND,@SEA,,,,,,,,,,,,,,,,,,609,0.00
Denzel Ward,2560916,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,610,0.00
Jay Ward,2570089,DB,MIN,@DAL,,,,,,,,,,,,,,,,,,611,0.00
Jimmie Ward,2543741,DB,HOU,ARI,,,,,,,,,,,,,,,,,,612,0.00
Trey Washington,2574205,DB,IND,@SEA,,,,,,,,,,,,,,,,,,613,0.00
Isas Waxter,2574577,DB,LAC,@KC,,,,,,,,,,,,,,,,,,614,0.00
Aydan White,2574236,DB,FA,Bye,,,,,,,,,,,,,,,,,,615,0.00
Nick Whiteside,2571635,DB,DET,@LAR,,,,,,,,,,,,,,,,,,616,0.00
Damarion Williams,2567316,DB,TB,ATL,,,,,,,,,,,,,,,,,,617,0.00
Darious Williams,2561469,DB,LAR,DET,,,,,,,,,,,,,,,,,,618,0.00
Dee Williams,2572789,DB,CLE,@CHI,,,,,,,,,,,,,,,,,,619,0.00
Joshua Williams,2567814,DB,KC,LAC,,,,,,,,,,,,,,,,,,620,0.00
