PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Colton Dowell,2569801,WR,FA,Bye,,,,,,,,,,,,,,210,104,0.00,
Josh Downs,2569861,WR,IND,@HOU,,,,0.21,,2.89,32.33,0.25,,,,0.04,6.12,54,105,0.00,-6.12
Dylan Drummond,2571446,WR,ATL,NO,,,,,,,,,,,,,0.00,211,106,0.00,0.0
Grant DuBose,2569786,WR,FA,Bye,,,,,,,,,,,,,,212,107,0.00,
Ashton Dulin,2562646,WR,IND,@HOU,,,,,,,,,,,,,0.00,213,108,0.00,0.0
Devin Duvernay,2563551,WR,CHI,DET,,,,0.15,,0.19,2.08,0.01,0.07,,,0.19,0.42,133,109,0.00,-0.42
Tru Edwards,2574266,WR,LAR,ARI,,,,,,,,,,,,,0.00,214,110,0.00,0.0
Emeka Egbuka,2574585,WR,TB,CAR,,,,0.68,,1.72,28.06,0.18,,,,0.03,4.75,76,111,0.00,-4.75
Dee Eskridge,2566553,WR,MIA,@NE,,,,,,,,,,,,,0.00,215,112,0.00,0.0
Mike Evans,2543468,WR,TB,CAR,,,,,,3.95,61.42,0.55,,,,0.06,11.30,12,113,0.00,-11.3
Erik Ezukanma,2567889,WR,FA,Bye,,,,,,,,,,,,,,216,114,0.00,
Simi Fehoko,2566004,WR,ARI,@LAR,,,,,,,,,,,,,0.00,217,115,0.00,0.0
Da'Quan Felton,2574420,WR,NYG,DAL,,,,,,,,,,,,,0.00,218,116,0.00,0.0
Tai Felton,2574344,WR,MIN,GB,,,,0.05,,0.46,4.53,0.04,,,,0.01,0.91,124,117,0.00,-0.91
Dez Fitzpatrick,2566109,WR,FA,Bye,,,,,,,,,,,,,,219,118,0.00,
Dontae Fleming,2574345,WR,MIN,GB,,,,,,,,,,,,,0.00,220,119,0.00,0.0
Luke Floriea,2574044,WR,CLE,@CIN,,,,,,,,,,,,,0.00,221,120,0.00,0.0
Ryan Flournoy,2571970,WR,DAL,@NYG,,,,,,3.31,39.72,0.3,,,,0.04,7.35,39,121,0.00,-7.35
Zay Flowers,2569573,WR,BAL,@PIT,,,,2.83,0.02,4.91,69.09,0.35,,,,0.07,11.73,11,122,0.00,-11.73
Bryce Ford-Wheaton,2570590,WR,NYG,DAL,,,,,,,,,,,,,0.00,222,123,0.00,0.0
Montorie Foster Jr,2574559,WR,SEA,@SF,,,,,,,,,,,,,0.00,223,124,0.00,0.0
Troy Franklin,2571997,WR,DEN,LAC,,,,0.6,0.01,2.19,25.62,0.24,,,,0.03,5.16,72,125,0.00,-5.16
Zakhari Franklin,2574291,WR,FA,Bye,,,,,,,,,,,,,,224,126,0.00,
Russell Gage,2561061,WR,FA,Bye,,,,,,,,,,,,,,225,127,0.00,
Michael Gallup,2560735,WR,FA,Bye,,,,,,,,,,,,,,226,128,0.00,
Jacolby George,2573981,WR,FA,Bye,,,,,,,,,,,,,,227,129,0.00,
Jaelen Gill,2573785,WR,FA,Bye,,,,,,,,,,,,,,228,130,0.00,
Xavier Gipson,2570614,WR,NYG,DAL,,,,,,,,,0.06,,,,0.36,135,131,0.00,-0.36
Chris Godwin Jr.,2558105,WR,TB,CAR,,,,,,3.62,46.77,0.32,,,,0.06,8.29,32,132,0.00,-8.29
Matthew Golden,2574130,WR,GB,@MIN,,,,1.12,0.01,3.26,38.19,0.21,,,,0.03,6.82,45,133,0.00,-6.82
Stephen Gosnell,2573958,WR,BUF,NYJ,,,,,,,,,,,,,0.00,229,134,0.00,0.0
Anthony Gould,2572120,WR,IND,@HOU,,,,,,,,,,,,,0.00,230,135,0.00,0.0
Danny Gray,2568210,WR,PHI,WAS,,,,,,,,,,,,,0.00,231,136,0.00,0.0
Bryson Green,2574483,WR,ARI,@LAR,,,,,,,,,,,,,0.00,232,137,0.00,0.0
Garrett Greene,2574586,WR,TB,CAR,,,,,,,,,,,,,0.00,233,138,0.00,0.0
Luke Grimm,2574512,WR,LAC,@DEN,,,,,,,,,,,,,0.00,234,139,0.00,0.0
Xavier Guillory,2573929,WR,FA,Bye,,,,,,,,,,,,,,235,140,0.00,
KJ Hamler,2563890,WR,FA,Bye,,,,,,,,,,,,,,236,141,0.00,
Mecole Hardman,2562580,WR,BUF,NYJ,,,,,,,,,,,,,0.00,237,142,0.00,0.0
Kelvin Harmon,2562577,WR,FA,Bye,,,,,,,,,,,,,,238,143,0.00,
Jacob Harris,2566220,WR,FA,Bye,,,,,,,,,,,,,,239,144,0.00,
Tre Harris,2574515,WR,LAC,@DEN,,,,,,2.92,34.55,0.19,,,,0.05,5.96,57,145,0.00,-5.96
Marvin Harrison Jr.,2572411,WR,ARI,@LAR,,,,,,,,,,,,,0.00,240,146,0.00,0.0
Malik Heath,2570518,WR,ATL,NO,,,,,,,,,,,,,0.00,241,147,0.00,0.0
A.J. Henning,2574324,WR,MIA,@NE,,,,,,,,,,,,,0.00,242,148,0.00,0.0
Julian Hicks,2572799,WR,GB,@MIN,,,,,,,,,,,,,0.00,243,149,0.00,0.0
Jayden Higgins,2574170,WR,HOU,IND,,,,0.1,,3.76,51.96,0.41,,,,0.05,9.45,22,150,0.00,-9.45
Tee Higgins,2563731,WR,CIN,CLE,,,,0.31,,3.73,55.9,0.62,,,,0.05,11.11,14,151,0.00,-11.11
Tyreek Hill,2556214,WR,MIA,@NE,,,,,,,,,,,,,0.00,244,152,0.00,0.0
KhaDarel Hodge,2561653,WR,ATL,NO,,,,,,,,,,,,,0.00,245,153,0.00,0.0
Isaiah Hodgins,2563611,WR,NYG,DAL,,,,,,3.66,45.13,0.38,,,,,8.62,26,154,0.00,-8.62
Traeshon Holden,2574076,WR,DAL,@NYG,,,,,,,,,,,,,0.00,246,155,0.00,0.0
Jimmy Holiday,2574247,WR,KC,@LV,,,,,,,,,,,,,0.00,247,156,0.00,0.0
Mack Hollins,2558262,WR,NE,MIA,,,,,,,,,,,,,0.00,248,157,0.00,0.0
DeAndre Hopkins,2540165,WR,BAL,@PIT,,,,,,1.29,18.83,0.17,,,,0.02,3.51,96,158,0.00,-3.51
Jimmy Horn Jr.,2573985,WR,CAR,@TB,,,,2.47,0.02,0.88,9.58,0.07,,,,0.01,2.17,111,159,0.00,-2.17
Tory Horton,2574561,WR,SEA,@SF,,,,,,,,,,,,,0.00,249,160,0.00,0.0
Dennis Houston,2568693,WR,TB,CAR,,,,,,,,,,,,,0.00,250,161,0.00,0.0
Kobe Hudson,2573986,WR,FA,Bye,,,,,,,,,,,,,,251,162,0.00,
Lil'Jordan Humphrey,2562668,WR,DEN,LAC,,,,0.12,,2.07,25.3,0.19,,,,0.03,4.66,79,163,0.00,-4.66
Travis Hunter,2574217,WR,JAX,TEN,,,,,,,,,,,,,0.00,252,164,0.00,0.0
Xavier Hutchinson,2569825,WR,HOU,IND,,,,0.12,,1.82,23.62,0.16,,,,,4.24,89,165,0.00,-4.24
Jalin Hyatt,2570152,WR,NYG,DAL,,,,,,,,,,,,,0.00,253,166,0.00,0.0
Andrei Iosivas,2569657,WR,CIN,CLE,,,,0.52,,1.79,24.25,0.23,,,,0.02,4.71,77,167,0.00,-4.71
Trenton Irwin,2562900,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,254,168,0.00,0.0
Andy Isabella,2562669,WR,FA,Bye,,,,,,,,,,,,,,255,169,0.00,
Qadir Ismail,2573857,WR,CHI,DET,,,,,,,,,,,,,0.00,256,170,0.00,0.0
Courtney Jackson,2574091,WR,SEA,@SF,,,,,,,,,,,,,0.00,257,171,0.00,0.0
Daniel Jackson,2574172,WR,FA,Bye,,,,,,,,,,,,,,258,172,0.00,
Giles Jackson,2574460,WR,FA,Bye,,,,,,,,,,,,,,259,173,0.00,
JaQuae Jackson,2572875,WR,LAC,@DEN,,,,,,,,,,,,,0.00,260,174,0.00,0.0
Jha'Quan Jackson,2572069,WR,FA,Bye,,,,,,,,,,,,,,261,175,0.00,
John Jackson,2573843,WR,FA,Bye,,,,,,,,,,,,,,262,176,0.00,
Ketron Jackson Jr.,2574297,WR,FA,Bye,,,,,,,,,,,,,,263,177,0.00,
Lucky Jackson,2571730,WR,FA,Bye,,,,,,,,,,,,,,264,178,0.00,
Shedrick Jackson,2570828,WR,LV,KC,,,,,,,,,,,,,0.00,265,179,0.00,0.0
Trishton Jackson,2564355,WR,FA,Bye,,,,,,,,,,,,,,266,180,0.00,
Jadon Janke,2573157,WR,FA,Bye,,,,,,,,,,,,,,267,181,0.00,
Rakim Jarrett,2571575,WR,FA,Bye,,,,,,,,,,,,,,268,182,0.00,
Justin Jefferson,2564556,WR,MIN,GB,,,,0.29,,4.82,64.54,0.39,,,,0.05,11.13,13,183,0.00,-11.13
Van Jefferson,2564358,WR,TEN,@JAX,,,,,,,,,,,,,0.00,269,184,0.00,0.0
Jauan Jennings,2565114,WR,SF,SEA,,,,0.21,,3.41,45.37,0.45,,,,0.07,8.82,25,185,0.00,-8.82
Jerry Jeudy,2563896,WR,CLE,@CIN,,,,0.42,,3.4,53.59,0.25,,,,0.04,8.52,28,186,0.00,-8.52
John Jiles,2573491,WR,NE,MIA,,,,,,,,,,,,,0.00,270,187,0.00,0.0
Brandon Johnson,2568738,WR,PIT,BAL,,,,,,,,,,,,,0.00,271,188,0.00,0.0
Collin Johnson,2564202,WR,FA,Bye,,,,,,,,,,,,,,272,189,0.00,
Cornelius Johnson,2572474,WR,BAL,@PIT,,,,,,,,,,,,,0.00,273,190,0.00,0.0
Diontae Johnson,2562674,WR,FA,Bye,,,,,,,,,,,,,,274,191,0.00,
Jaylen Johnson,2573791,WR,FA,Bye,,,,,,,,,,,,,,275,192,0.00,
Johnny Johnson III,2568879,WR,FA,Bye,,,,,,,,,,,,,,276,193,0.00,
Kameron Johnson,2573572,WR,TB,CAR,,,,,,,,,,,,,0.00,277,194,0.00,0.0
Kisean Johnson,2574051,WR,GB,@MIN,,,,,,,,,,,,,0.00,278,195,0.00,0.0
Tez Johnson,2574589,WR,TB,CAR,,,,0.13,,0.58,7.32,0.07,,,,0.01,1.44,115,196,0.00,-1.44
Tyler Johnson,2565225,WR,NYJ,@BUF,,,,,,,,,,,,,0.00,279,197,0.00,0.0
Xavier Johnson,2572911,WR,CIN,CLE,,,,,,,,,,,,,0.00,280,198,0.00,0.0
Quentin Johnston,2570275,WR,LAC,@DEN,,,,,,0.08,1.21,0.01,,,,,0.22,138,199,0.00,-0.22
Charlie Jones,2569645,WR,CIN,CLE,,,,,,,,,,,,,0.00,281,200,0.00,0.0
J.J. Jones,2574219,WR,FA,Bye,,,,,,,,,,,,,,282,201,0.00,
Jacoby Jones,2574610,WR,WAS,@PHI,,,,,,,,,,,,,0.00,283,202,0.00,0.0
Jaylen Jones,2574516,WR,FA,Bye,,,,,,,,,,,,,,284,203,0.00,
Jeshaun Jones,2573298,WR,MIN,GB,,,,,,,,,,,,,0.00,285,204,0.00,0.0
Tim Jones,2565624,WR,JAX,TEN,,,,,,,,,,,,,0.00,286,205,0.00,0.0
Zay Jones,2557863,WR,ARI,@LAR,,,,,,,,,,,,,0.00,287,206,0.00,0.0
Tyler Kahmann,2574189,WR,FA,Bye,,,,,,,,,,,,,,288,207,0.00,
Jakobie Keeney-James,2574113,WR,GB,@MIN,,,,,,,,,,,,,0.00,289,208,0.00,0.0
Josh Kelly,2574078,WR,HOU,IND,,,,,,,,,,,,,0.00,290,209,0.00,0.0
Tom Kennedy,2563319,WR,DET,@CHI,,,,,,0.31,4.09,0.03,,,,,0.74,127,210,0.00,-0.74
Ramel Keyton,2573232,WR,FA,Bye,,,,,,,,,,,,,,291,211,0.00,
