PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Micah Abraham,2572108,DB,FA,,,,,,,,,,,,,,,,,,413,0.00
BJ Adams,2574315,DB,FA,,,,,,,,,,,,,,,,,,414,0.00
Kam Alexander,2574640,DB,FA,,,,,,,,,,,,,,,,,,415,0.00
Zy Alexander,2574553,DB,FA,,,,,,,,,,,,,,,,,,416,0.00
Ugo Amadi,2562464,DB,NO,,,,,,,,,,,,,,,,,,417,0.00
Grayland Arnold,2564814,DB,FA,,,,,,,,,,,,,,,,,,418,0.00
Marcus Banks,2573551,DB,TB,,,,,,,,,,,,,,,,,,419,0.00
Luq Barcoo,2564160,DB,FA,,,,,,,,,,,,,,,,,,420,0.00
Essang Bassey,2563875,DB,FA,,,,,,,,,,,,,,,,,,421,0.00
Dalys Beanum,2574392,DB,NO,,,,,,,,,,,,,,,,,,422,0.00
Beanie Bishop Jr.,2573512,DB,NO,,,,,,,,,,,,,,,,,,423,0.00
Henry Black,2563974,DB,FA,,,,,,,,,,,,,,,,,,424,0.00
Joshuah Bledsoe,2566331,DB,FA,,,,,,,,,,,,,,,,,,425,0.00
Joey Blount,2568225,DB,ARI,,,,,,,,,,,,,,,,,,426,0.00
Bubba Bolden,2568228,DB,FA,,,,,,,,,,,,,,,,,,427,0.00
Isaiah Bolden,2570116,DB,FA,,,,,,,,,,,,,,,,,,428,0.00
Andrew Booth,2567904,DB,FA,,,,,,,,,,,,,,,,,,429,0.00
Dicaprio Bootle,2566980,DB,FA,,,,,,,,,,,,,,,,,,430,0.00
Kris Boyd,2562630,DB,NYJ,,,,,,,,,,,,,,,,,,431,0.00
Ekow Boye-Doe,2571497,DB,FA,,,,,,,,,,,,,,,,,,432,0.00
Millard Bradford,2573361,DB,FA,,,,,,,,,,,,,,,,,,433,0.00
Nate Brooks,2562843,DB,FA,,,,,,,,,,,,,,,,,,434,0.00
Will Brooks,2574666,DB,FA,,,,,,,,,,,,,,,,,,435,0.00
JaTravis Broughton,2573976,DB,FA,,,,,,,,,,,,,,,,,,436,0.00
Kahzir Brown,2574127,DB,FA,,,,,,,,,,,,,,,,,,437,0.00
Omar Brown,2573082,DB,FA,,,,,,,,,,,,,,,,,,438,0.00
Tony Brown,2560982,DB,FA,,,,,,,,,,,,,,,,,,439,0.00
Artie Burns,2555344,DB,MIA,,,,,,,,,,,,,,,,,,440,0.00
Major Burns,2574005,DB,FA,,,,,,,,,,,,,,,,,,441,0.00
Deon Bush,2555155,DB,KC,,,,,,,,,,,,,,,,,,442,0.00
Keydrain Calligan,2574620,DB,TEN,,,,,,,,,,,,,,,,,,443,0.00
Derrick Canteen,2574537,DB,SF,,,,,,,,,,,,,,,,,,444,0.00
Ajani Carter,2574652,DB,HOU,,,,,,,,,,,,,,,,,,445,0.00
Tariq Castro-Fields,2568201,DB,PHI,,,,,,,,,,,,,,,,,,446,0.00
Lewis Cine,2567910,DB,FA,,,,,,,,,,,,,,,,,,447,0.00
Hudson Clark,2574287,DB,FA,,,,,,,,,,,,,,,,,,448,0.00
Alex Cook,2570587,DB,FA,,,,,,,,,,,,,,,,,,449,0.00
Ryan Cooper Jr.,2572603,DB,FA,,,,,,,,,,,,,,,,,,450,0.00
Te'Cory Couch,2573644,DB,BUF,,,,,,,,,,,,,,,,,,451,0.00
Jacobe Covington,2574242,DB,FA,,,,,,,,,,,,,,,,,,452,0.00
Keion Crossen,2561157,DB,FA,,,,,,,,,,,,,,,,,,453,0.00
Brandon Crossley,2574371,DB,FA,,,,,,,,,,,,,,,,,,454,0.00
