PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Karene Reid,2574097,LB,DEN,4,1,,,,,,,,,,,,,,,,246,6.60
Mark Robinson,2568165,LB,FA,4,1,,,,,,,,,,,,,,,,247,6.60
Garret Wallow,2566139,LB,SF,2,6,,,,,,,,,,,,,,,,248,6.60
Quinton Bell,2562908,LB,MIA,,8,,,,,1,,,,,,,,1,,,249,6.30
Ruben Hyppolite II,2574011,LB,CHI,3,3,,,,,,,,,,,,,,,,250,6.30
Eric Kendricks,2552312,LB,SF,3,3,,,,,,,,,,,,,,,,251,6.30
Jordan Turner,2574101,LB,DEN,1,6,,,,,,,,,,,,,1,,,252,5.60
Victor Dimukeje,2566424,LB,NYG,1,2,,,,,,,,,,,,1,,,,253,5.20
Ale Kaho,2574611,LB,WAS,3,1,,,,,,,,,,,,,,,,254,5.10
Swayze Bozeman,2572811,LB,NYG,1,5,,,,,,,,,,,,,,,,255,4.50
Jon Rhattigan,2567127,LB,LV,1,5,,,,,,,,,,,,,,,,256,4.50
Darius Harris,2563108,LB,NE,2,2,,,,,,,,,,,,,,,,257,4.20
Micah McFadden,2568003,LB,NYG,2,1,,,,,,,,,,,,,1,,,258,4.10
Cam Jones,2570728,LB,NYJ,1,4,,,,,,,,,,,,,,,,259,3.90
Chandler Martin,2573943,LB,BAL,1,4,,,,,,,,,,,,,,,,260,3.90
Chris Board,2561301,LB,NYG,2,1,,,,,,,,,,,,,,,,261,3.60
Brennan Jackson,2572198,LB,LV,2,1,,,,,,,,,,,,,,,,262,3.60
Baylon Spector,2567337,LB,BUF,2,1,,,,,,,,,,,,,,,,263,3.60
Kyzir White,2560928,LB,SF,2,1,,,,,,,,,,,,,,,,264,3.60
Carlos Basham,2565863,LB,LV,1,3,,,,,,,,,,,,,,,,265,3.30
DJ Johnson,2569603,LB,WAS,2,,,,,,,,,,,,,,,,,266,3.00
Jalen Reeves-Maybin,2557924,LB,CHI,2,,,,,,,,,,,,,,,,,267,3.00
Jamin Davis,2566595,LB,LV,1,2,,,,,,,,,,,,,,,,268,2.70
Sione Takitaki,2562753,LB,MIN,1,2,,,,,,,,,,,,,,,,269,2.70
Nick Jackson,2574588,LB,TB,1,1,,,,,,,,,,,,,,,,270,2.10
Caleb Johnson,2566743,LB,MIA,1,1,,,,,,,,,,,,,,,,271,2.10
Cameron McGrone,2566337,LB,FA,1,1,,,,,,,,,,,,,,,,272,2.10
Durell Nchami,2571794,LB,IND,1,1,,,,,,,,,,,,,,,,273,2.10
Isaiah Simmons,2564940,LB,CAR,1,1,,,,,,,,,,,,,,,,274,2.10
Jackson Woodard,2574181,LB,MIA,1,1,,,,,,,,,,,,,,,,275,2.10
Kristian Welch,2565348,LB,GB,,3,,,,,,,,,,,,,,,,276,1.80
Anthony Pittman,2563195,LB,FA,1,,,,,,,,,,,,,,,,,277,1.50
Jamie Sheriff,2573892,LB,SEA,1,,,,,,,,,,,,,,,,,278,1.50
Jackson Sirmon,2572717,LB,NYJ,1,,,,,,,,,,,,,,,,,279,1.50
Cole Christiansen,2565021,LB,KC,,2,,,,,,,,,,,,,,,,280,1.20
Jeremiah Moon,2567292,LB,PIT,,2,,,,,,,,,,,,,,,,281,1.20
Monty Rice,2566121,LB,FA,,2,,,,,,,,,,,,,,,,282,1.20
Ja'Markis Weston,2574453,LB,SEA,,2,,,,,,,,,,,,,,,,283,1.20
Jaylon Carlies,2572114,LB,IND,,1,,,,,,,,,,,,,,,,284,0.60
Jalen Graham,2570311,LB,SF,,1,,,,,,,,,,,,,,,,285,0.60
Ty Summers,2562748,LB,CHI,,1,,,,,,,,,,,,,,,,286,0.60
