PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Josh Johnson,264,QB,WAS,372,1,2,55,1,,,,,,,2,14.16,12,,12,,,,,1,,53,23.85
Mason Rudolph,2560860,QB,PIT,310,2,2,6,,,,,,,,1,17.18,7,,7,,,,,,,54,15.00
Tanner McKee,2570206,QB,PHI,274,1,1,8,,,,,,,,,19.68,8,,8,,,,,,,55,13.76
Trey Lance,2566532,QB,LAC,226,,1,85,,,,,,,,1,14.38,17,,17,,,,,,,56,13.54
Andy Dalton,2495143,QB,CAR,293,1,1,-2,,,,,,,,2,19.08,5,,5,,,,,,,57,11.12
Joe Milton III,2572297,QB,DAL,183,1,2,50,,,,,,,,1,18.71,5,,5,,,,,,,58,10.32
Chris Oladokun,2568153,QB,KC,235,1,,18,,,,,,,,4,16.35,5,,5,,,,,,,59,8.20
Kenny Pickett,2568162,QB,LV,188,1,2,22,,,,,,,,1,15.46,5,,5,,,,,,,60,7.65
Aidan O'Connell,2570044,QB,LV,102,,,7,,,,,,,,,15.46,1,,1,,,,,,,61,4.78
Max Brosmer,2574340,QB,MIN,328,,4,11,,,,,,,,2,15.31,7,,7,,,,,,,62,4.72
Shane Buechele,2566983,QB,BUF,88,,,4,,,,,,,,,18.92,1,,1,,,,,,,63,3.89
Teddy Bridgewater,2543465,QB,TB,62,,,4,,,,,,,,,14.04,3,,3,,,,,,,64,2.88
Joshua Dobbs,2558167,QB,NE,65,,,-5,,,,,,,,,17.99,10,,10,,,,,,,65,2.10
