PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Nelson Agholor,2552600,WR,FA,,,,,,,,,,,,,,,,,,,,,,,230,0.00
Brandon Aiyuk,2565093,WR,FA,,,,,,,,,,,,,,,,,,,,,,,231,0.00
Ajou Ajou,2574182,WR,FA,,,,,,,,,,,,,,,,,,,,,,,232,0.00
Kelly Akharaiyi,2573955,WR,FA,,,,,,,,,,,,,,,,,,,,,,,233,0.00
Maurice Alexander,2569528,WR,CHI,,,,,,,,,,,,,31.33,,,,,,,,,,234,0.00
Kazmeir Allen,2571641,WR,FA,,,,,,,,,,,,,,,,,,,,,,,235,0.00
Andrew Armstrong,2574316,WR,FA,,,,,,,,,,,,,,,,,,,,,,,236,0.00
Elijhah Badger,2574238,WR,FA,,,,,,,,,,,,,,,,,,,,,,,237,0.00
Javon Baker,2572285,WR,SF,,,,,,,,,,,,,23.54,,,,,,,,,,238,0.00
Kawaan Baker,2566349,WR,FA,,,,,,,,,,,,,,,,,,,,,,,239,0.00
Monaray Baldwin,2574318,WR,FA,,,,,,,,,,,,,,,,,,,,,,,240,0.00
Jahmal Banks,2573923,WR,FA,,,,,,,,,,,,,,,,,,,,,,,241,0.00
Odell Beckham Jr.,2543496,WR,FA,,,,,,,,,,,,,,,,,,,,,,,242,0.00
David Bell,2567460,WR,FA,,,,,,,,,,,,,,,,,,,,,,,243,0.00
Junior Bergen,2574535,WR,SF,,,,,,,,,,,,,23.54,,,,,,,,,,244,0.00
Tarik Black,2565594,WR,FA,,,,,,,,,,,,,,,,,,,,,,,245,0.00
DeMeer Blankumsee,2574364,WR,FA,,,,,,,,,,,,,,,,,,,,,,,246,0.00
Jordan Bly,2574415,WR,FA,,,,,,,,,,,,,,,,,,,,,,,247,0.00
Silas Bolden,2574339,WR,FA,,,,,,,,,,,,,,,,,,,,,,,248,0.00
Tyler Boyd,2555466,WR,FA,,,,,,,,,,,,,,,,,,,,,,,249,0.00
Miles Boykin,2562631,WR,FA,,,,,,,,,,,,,,,,,,,,,,,250,0.00
Chandler Brayboy,2574208,WR,JAX,,,,,,,,,,,,,29.74,,,,,,,,,,251,0.00
Tyrone Broden,2574555,WR,SEA,,,,,,,,,,,,,27.38,,,,,,,,,,252,0.00
Ja'Corey Brooks,2574606,WR,WAS,,,,,,,,,,,,,22.63,,,,,,,,,,253,0.00
Sam Brown Jr.,2574623,WR,FA,,,,,,,,,,,,,,,,,,,,,,,254,0.00
Cole Burgess,2572983,WR,FA,,,,,,,,,,,,,,,,,,,,,,,255,0.00
Jermaine Burton,2571922,WR,FA,,,,,,,,,,,,,,,,,,,,,,,256,0.00
Deon Cain,2560987,WR,FA,,,,,,,,,,,,,,,,,,,,,,,257,0.00
Marquez Callaway,2565310,WR,FA,,,,,,,,,,,,,,,,,,,,,,,258,0.00
Cam Camper,2574209,WR,FA,,,,,,,,,,,,,,,,,,,,,,,259,0.00
Joshua Cephus,2573193,WR,JAX,,,,,,,,,,,,,29.74,,,,,,,,,,260,0.00
Quintez Cephus,2563926,WR,HOU,,,,,,,,,,,,,30.59,,,,,,,,,,261,0.00
DJ Chark,2561018,WR,FA,,,,,,,,,,,,,,,,,,,,,,,262,0.00
Irvin Charles,2568021,WR,NYJ,,,,,,,,,,,,,23.03,,,,,,,,,,263,0.00
Dan Chisena,2564514,WR,CAR,,,,,,,,,,,,,25.71,,,,,,,,,,264,0.00
Chase Claypool,2564970,WR,FA,,,,,,,,,,,,,,,,,,,,,,,265,0.00
Elijah Cooks,2571029,WR,NO,,,,,,,,,,,,,29.20,,,,,,,,,,266,0.00
Amari Cooper,2552487,WR,FA,,,,,,,,,,,,,,,,,,,,,,,267,0.00
Chase Cota,2570948,WR,FA,,,,,,,,,,,,,,,,,,,,,,,268,0.00
Jacob Cowing,2572492,WR,SF,,,,,,,,,,,,,23.54,,,,,,,,,,269,0.00
River Cracraft,2559485,WR,WAS,,,,,,,,,,,,,22.63,,,,,,,,,,270,0.00
