PlayerName,PlayerId,Pos,Team,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Byron Young,2570053,DL,PHI,13,24,2.5,3,,,1,,,,,,,,4,,,127,46.40
Elijah Ponder,2574381,DL,NE,14,10,4,4,,,2,,,,,,,,5,,18,128,46.10
Davon Godchaux,2558012,DL,NO,14,29,,2,,1,,,,,,,,,1,,,129,45.40
Kenneth Grant,2574323,DL,MIA,15,18,2,2,,,,,,,,,,1,5,,,130,45.30
DaVon Hamilton,2564190,DL,JAX,15,23,1,3,,,,,,,,,,,3,,,131,44.30
Ruke Orhorhoro,2571811,DL,ATL,12,13,3.5,4,,,,,,,,,,1,6,,,132,44.30
Tershawn Wharton,2564310,DL,CAR,12,25,2,2,,,,,,,,,,1,3,,,133,44.00
Clelin Ferrell,2562263,DL,SF,13,12,4,4,,,,,,,,,,,5,,,134,43.20
Roy Lopez,2566133,DL,DET,11,19,2,4,,,,,,,,,,1,5,,,135,42.90
Dante Stills,2570218,DL,ARI,17,17,,2,,,,,,,,,,1,2,,,136,42.20
Trey Hendrickson,2557943,DL,CIN,11,5,4,3,,1,,,,,,,,1,8,,,137,42.00
Jarran Reed,2555238,DL,SEA,11,20,2.5,3,,,,,,,,,,,8,,,138,42.00
Kalia Davis,2568204,DL,SF,10,18,0.5,4,,,,,,,,,,3,2,,,139,41.30
Derrick Harmon,2574493,DL,PIT,11,16,3,1,,,1,,,,,,,1,5,,,140,39.60
Leonard Floyd,2555285,DL,ATL,6,13,3.5,5,,,,,,,,,,1,11,,,141,39.30
Bobby Brown III,2566199,DL,CAR,13,18,0.5,3,,,,,,,,,,1,1,,,142,38.80
Ed Oliver,2562322,DL,BUF,10,2,3,7,,1,,,,,,,,,5,,,143,38.70
Darius Alexander,2574412,DL,NYG,9,11,3.5,4,,,,,,,,,,1,6,,,144,38.60
Walter Nolen,2574485,DL,ARI,8,3,2,5,,,1,,1,,,,,2,5,,7,145,38.03
Nick Bosa,2562629,DL,SF,9,8,2,4,,2,1,,,,,,,,3,,,146,37.80
Dalvin Tomlinson,2557846,DL,ARI,13,13,1,3,,,,,,,,,,1,3,,,147,37.80
Jonathan Bullard,2555335,DL,NO,12,14,,4,,,,,,,,,,2,,,,148,37.40
Michael Danna,2564262,DL,KC,8,17,1,3,1,,,,,,,,,1,4,10,,149,37.03
Yahya Black,2574489,DL,PIT,10,18,,,,2,1,,,,,,,1,1,,,150,36.80
Elijah Roberts,2574596,DL,TB,10,4,2,2,,,1,,,,,,,3,5,,,151,35.40
Micheal Clemons,2568024,DL,NYJ,9,13,1,3,,,,,,,,,,2,5,,,152,35.30
Cory Durden,2570951,DL,NE,10,20,,5,,,,,,,,,,,1,,,153,35.00
Denico Autry,2550646,DL,HOU,5,3,3.5,3,,1,,,,,,,2,1,4,,,154,34.80
Tonka Hemingway,2574294,DL,LV,8,1,4,5,,,1,,,,,,,1,6,,,155,34.60
Tyleik Williams,2574122,DL,DET,8,10,1,2,,,,,,,,,,4,3,,,156,34.50
Rakeem Nunez-Roches,2552674,DL,NYG,6,17,3,3,,,,,,,,,,1,4,,,157,34.20
Greg Gaines,2562391,DL,TB,12,11,2,3,,,,,,,,,,,2,,,158,34.10
James Lynch,2564565,DL,TEN,14,11,0.5,1,,,,,,,,,,1,3,,,159,34.10
Jonah Williams,2564403,DL,NO,8,10,3,5,,,,,,,,,,,5,,,160,34.00
Jordan Elliott,2563779,DL,SF,8,23,,1,,,,,,,,,1,1,2,,,161,33.80
Dawuane Smoot,2557839,DL,JAX,10,13,2,3,,,,,,,,,,,5,,,162,33.80
Chauncey Golston,2566007,DL,NYG,13,7,1,5,,,,,,,,,,,1,,,163,33.70
Cedric Johnson,2571931,DL,CIN,11,9,2,2,,,2,,,,,,,,5,,4,164,33.53
Dylan Horton,2569828,DL,HOU,11,15,0.5,1,,1,,,,,,,,,4,,,165,33.50
Alfred Collins,2574539,DL,SF,4,13,1,1,,2,2,,,,,,,2,4,,,166,33.30
Solomon Thomas,2558018,DL,DAL,10,17,,3,,,,,,,,,,1,2,,,167,33.20
Lukas Van Ness,2569792,DL,GB,12,7,1.5,3,,,,,,,,,,,7,,,168,33.20
PJ Mustipher,2570939,DL,ARI,11,21,,1,,,,,,,,,,1,,,,169,33.10
Mykel Williams,2574552,DL,SF,11,9,1,4,,,1,,,,,,,,3,,,170,32.40
Kentavius Street,2560885,DL,ATL,11,10,2,3,,,,,,,,,,,2,,,171,32.00
Cameron Sample,2565959,DL,CIN,9,8,2,2,,1,,,,,,,,,6,,,172,31.80
Karl Brooks,2569753,DL,GB,8,20,0.5,1,,,,,,,,,,1,5,,,173,31.50
Khyiris Tonga,2565935,DL,NE,9,15,,2,,,,,,,,,,2,2,,,174,31.50
Dominique Robinson,2567421,DL,CHI,12,7,1.5,3,,,,,,,,,,,3,,,175,31.20
Eddie Goldman,2552489,DL,WAS,10,16,,4,,,,,,,,,,,1,,,176,31.10
Preston Smith,2552276,DL,WAS,8,16,0.5,2,,,,,,,,,,1,6,,,177,31.10
Dayo Odeyingbo,2565609,DL,CHI,9,12,1,2,,,,,,,,,,1,4,,,178,30.20
Jordan Phillips,2574329,DL,MIA,8,26,,1,,,,,,,,,,,1,,,179,29.60
Keion White,2570107,DL,SF,7,11,1.5,2,,,1,,,,,,,1,6,,,180,29.60
Tim Settle,2560871,DL,HOU,6,9,1,3,,,,,,,,,,3,1,,,181,28.90
CJ West,2574551,DL,SF,12,9,1,2,,,,,,,,,,,1,,,182,28.90
DJ Reader,2555388,DL,DET,11,17,,,,,,,,,,,,,4,,,183,28.70
Tyquan Lewis,2560791,DL,IND,5,6,3,4,,,,,,,,,,1,4,,,184,27.60
Mike Morris,2570317,DL,SEA,11,7,,2,,,,,,,,,,1,2,,,185,27.20
Jerry Tillery,2562763,DL,KC,8,12,1.5,2,,,1,,,,,,,,2,,,186,27.20
Zeek Biggers,2574319,DL,MIA,6,14,1.5,1,,,,,,,,,1,,4,,,187,26.90
Tyrus Wheat,2570885,DL,DET,7,8,1.5,1,,1,,,,,,,,1,2,,,188,26.80
Larry Ogunjobi,2557836,DL,BUF,10,9,,4,,,,,,,,,,,,,,189,26.40
Alim McNeill,2566061,DL,DET,5,9,1,2,,1,,,,,,,,1,3,,,190,25.40
Brent Urban,2543765,DL,BAL,7,12,0.5,3,,,,,,,,,,,4,,,191,25.20
Javon Solomon,2571871,DL,BUF,11,6,1,1,,,,,,,,,,,2,,,192,24.60
Mike Pennel,2550242,DL,KC,8,18,,1,,,,,,,,,,,,,,193,24.30
Emmanuel Ogbah,2555278,DL,JAX,6,8,0.5,2,,,1,,,,,,,1,4,,,194,23.30
BJ Green II,2574214,DL,JAX,6,9,2,2,,,1,,,,,,,,1,,,195,22.90
Barryn Sorrell,2574137,DL,GB,7,8,1.5,1,,,1,,,,,,,,3,,7,196,22.53
Benito Jones,2564466,DL,MIA,6,9,1,2,,,,,,,,,,1,1,,,197,22.40
T.J. Sanders,2573972,DL,BUF,7,9,1,1,,,,,,,,,,1,1,,,198,22.40
Braiden McGregor,2572705,DL,NYJ,7,8,1,1,,,,,,,,,,1,2,,,199,22.30
Mario Edwards,2553433,DL,HOU,6,7,1.5,2,,,,,,,,,,,4,,,200,21.20
Tyler Lacy,2569897,DL,DET,6,15,1,,,,,,,,,,,,2,,,201,21.00
Desjuan Johnson,2569969,DL,LAR,4,8,2,2,,,,,,,,,,,6,,,202,20.80
Sam Roberts,2567946,DL,ATL,6,12,1,1,,,,,,,,,,,2,,,203,20.70
Tyrion Ingram-Dawkins,2574349,DL,MIN,6,6,1,2,,,,,,,,,,1,1,,,204,20.60
Shemar Stewart,2574039,DL,CIN,5,6,1,2,,,,,,,,,,1,4,,,205,20.60
Joshua Farmer,2574373,DL,NE,7,8,,1,,,1,,,,,,,1,,,,206,20.30
JT Tuimoloau,2574201,DL,IND,6,11,,1,,,,,,,,,,,6,,,207,20.10
Daniel Hardy,2567832,DL,CHI,7,15,,,,,,,,,,,,,1,,,208,20.00
Basil Okoye,2571560,DL,BAL,7,8,,1,,,,,,,,,,1,1,,,209,19.80
Truman Jones,2570734,DL,TEN,4,7,1.5,2,,,,,,,,,,1,2,,,210,19.70
Marshawn Kneeland,2571976,DL,FA,6,6,1,3,,,,,,,,,,,1,,,211,19.60
Naquan Jones,2566953,DL,HOU,8,5,,1,,,,,,,,,,1,1,,,212,19.50
Austin Johnson,2556368,DL,JAX,4,8,1,,,1,,,,,,,,1,1,,,213,19.30
Derrick Nnadi,2560823,DL,KC,10,6,,,,,,,,,,,,,1,,,214,19.10
Brandon Graham,496788,DL,PHI,4,4,3,2,,,,,,,,,,,3,,,215,18.90
Marcus Davenport,2561037,DL,DET,6,8,1,1,,,,,,,,,,,3,,,216,18.80
Danny Striggow,2574234,DL,JAX,6,10,0.5,,,,1,,,,,,,,3,,,217,18.50
Otito Ogbonnia,2568183,DL,LAC,7,3,0.5,3,,,,,,,,,,,1,,,218,18.30
Chris Williams,2564154,DL,CHI,6,8,1,1,,,,,,,,,,,2,,,219,18.30
Mike Hall Jr.,2571949,DL,CLE,4,7,1.5,2,,,,,,,,,,,4,,,220,18.20
Jordan Phillips,2552492,DL,BUF,5,4,1,2,,,,,,,,,,1,1,,,221,17.90
Jalyn Holmes,2560744,DL,WAS,5,16,,,,,,,,,,,,,1,,,222,17.60
Nnamdi Madubuike,2563563,DL,BAL,5,2,2,2,,,,,,,,,,,3,,,223,17.20
Adin Huntington,2574048,DL,CLE,7,8,0.5,,,,,,,,,,,,1,,,224,16.80
Shy Tuttle,2563242,DL,WAS,7,8,,1,,,,,,,,,,,,,,225,16.80
Leki Fotu,2564910,DL,HOU,3,8,1,3,,,,,,,,,,,1,,,226,16.30
Zachary Carter,2567445,DL,ARI,5,8,,,,1,,,,,,,,,,,,227,15.80
Warren Brinson,2574126,DL,GB,6,7,0.5,,,,,,,,,,,,3,,,228,15.70
Khalen Saunders,2562723,DL,NYJ,5,7,1,1,,,,,,,,,,,1,,,229,15.70
Leonard Taylor III,2572720,DL,NE,5,6,,1,,,,,,,,,,1,1,,,230,15.60
Larrell Murchison,2564055,DL,LAR,2,6,2,2,,,,,,,,,,,3,,,231,15.10
Maason Smith,2572159,DL,JAX,4,11,,,,,,,,,,,,1,,,,232,15.10
DJ Davidson,2567991,DL,NYG,6,3,,1,,,,,,,,,,1,,,,233,14.80
Foley Fatukasi,2560722,DL,HOU,5,3,1.5,1,,,,,,,,,,,2,,,234,14.80
