PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Cameron Sample,2565959,DL,CIN,ARI,,,,,,,,,,,,,,,1,,,198,0.50
Myles Adams,2563620,DL,DET,@MIN,,,,,,,,,,,,,,,,,,199,0.00
McTelvin Agim,2563872,DL,FA,Bye,,,,,,,,,,,,,,,,,,200,0.00
Tommy Akingbesote,2574066,DL,BUF,PHI,,,,,,,,,,,,,,,,,,201,0.00
Deslin Alexandre,2570593,DL,FA,Bye,,,,,,,,,,,,,,,,,,202,0.00
Jaylon Allen,2573076,DL,FA,Bye,,,,,,,,,,,,,,,,,,203,0.00
Bradlee Anae,2563821,DL,FA,Bye,,,,,,,,,,,,,,,,,,204,0.00
Evan Anderson,2573524,DL,SF,CHI,,,,,,,,,,,,,,,,,,205,0.00
Felix Anudike-Uzomah,2569930,DL,KC,DEN,,,,,,,,,,,,,,,,,,206,0.00
Arik Armstead,2552493,DL,JAX,@IND,,,,,,,,,,,,,,,,,,207,0.00
Dorance Armstrong,2560959,DL,WAS,DAL,,,,,,,,,,,,,,,,,,208,0.00
Popo Aumavae,2573656,DL,CAR,SEA,,,,,,,,,,,,,,,,,,209,0.00
Eric Banks,2564325,DL,FA,Bye,,,,,,,,,,,,,,,,,,210,0.00
Dante Barnett,2574023,DL,GB,BAL,,,,,,,,,,,,,,,,,,211,0.00
Tyler Baron,2574431,DL,NYJ,NE,,,,,,,,,,,,,,,,,,212,0.00
Alex Barrett,2559140,DL,FA,Bye,,,,,,,,,,,,,,,,,,213,0.00
Simeon Barrow Jr.,2573906,DL,MIA,TB,,,,,,,,,,,,,,,,,,214,0.00
Kyon Barrs,2573891,DL,FA,Bye,,,,,,,,,,,,,,,,,,215,0.00
Kyler Baugh,2573358,DL,PIT,@CLE,,,,,,,,,,,,,,,,,,216,0.00
Robert Beal Jr.,2570299,DL,SF,CHI,,,,,,,,,,,,,,,,,,217,0.00
Travis Bell,2569612,DL,FA,Bye,,,,,,,,,,,,,,,,,,218,0.00
Diwun Black,2573924,DL,FA,Bye,,,,,,,,,,,,,,,,,,219,0.00
Philip Blidi,2574144,DL,FA,Bye,,,,,,,,,,,,,,,,,,220,0.00
Anthony Booker,2574286,DL,FA,Bye,,,,,,,,,,,,,,,,,,221,0.00
Nick Bosa,2562629,DL,SF,CHI,,,,,,,,,,,,,,,,,,222,0.00
Khristian Boyd,2572309,DL,NO,@TEN,,,,,,,,,,,,,,,,,,223,0.00
Will Bradley-King,2566583,DL,SF,CHI,,,,,,,,,,,,,,,,,,224,0.00
Devin Brandt-Epps,2573957,DL,FA,Bye,,,,,,,,,,,,,,,,,,225,0.00
