PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Mario Edwards,2553433,DL,HOU,ARI,0.9,0.62,0.21,0.28,,,,,,,,,,0.07,0.42,,,2.95,102,113,2.10,-0.85
Donovan Ezeiruaku,2574073,DL,DAL,MIN,1.26,0.6,0.33,0.42,,0.06,0.06,,,,,,,0.06,0.72,,,4.32,49,114,2.10,-2.22
Joshua Farmer,2574373,DL,NE,BUF,0.71,0.53,0.03,0.18,,,0.06,,,,,,,0.06,0.12,,,1.98,128,115,2.10,0.12
Davon Godchaux,2558012,DL,NO,CAR,1.53,1.88,,0.12,,,,,,,,,,,0.12,,,3.66,68,116,2.10,-1.56
Chauncey Golston,2566007,DL,NYG,WAS,1.64,1.07,0.21,0.14,,,,,,,,,,0.21,0.5,,,4.51,45,117,2.10,-2.41
Kenneth Grant,2574323,DL,MIA,@PIT,1.26,0.96,0.06,0.12,,,,,,,,,,0.12,0.12,,,3.13,91,118,2.10,-1.03
Jermaine Johnson II,2568033,DL,NYJ,@JAX,1.46,0.92,0.22,0.11,,0.05,0.05,,,,,,,0.16,0.54,,,4.24,52,119,2.10,-2.14
Dexter Lawrence,2562301,DL,NYG,WAS,1.56,1.5,0.48,0.42,0.06,,,,,,,,,0.06,1.32,,,5.85,18,120,2.10,-3.75
Basil Okoye,2571560,DL,BAL,@CIN,,,,,,,,,,,,,,,,,,0.00,392,121,2.10,2.1
Jordan Phillips,2574329,DL,MIA,@PIT,0.77,0.71,0.12,0.18,,,,,,,,,,,0.41,,,2.30,121,122,2.10,-0.2
Nic Scourton,2573999,DL,CAR,@NO,1.64,1,0.15,0.47,,0.06,,,,,,,,0.06,0.53,,,4.69,37,123,2.10,-2.59
Maason Smith,2572159,DL,JAX,NYJ,0.94,0.47,0.12,0.29,,,,,,,,,,0.24,0.35,,,3.14,89,124,2.10,-1.04
Teair Tart,2565474,DL,LAC,@KC,1.18,0.76,0.07,0.28,,,,,,,,,,0.07,0.35,,,3.14,90,125,2.10,-1.04
Christian Barmore,2566328,DL,NE,BUF,0.82,0.76,0.21,0.18,,,,,,,,,,0.18,0.65,,,3.15,88,126,2.00,-1.15
Kingsley Enagbare,2567589,DL,GB,@DEN,1,1.57,0.29,0.43,,0.07,,,,,,,,0.14,0.57,,,4.55,43,127,2.00,-2.55
John Franklin-Myers,2560731,DL,DEN,GB,0.94,1.24,0.38,0.41,,,,,,,,,,0.12,0.94,,,4.30,50,128,2.00,-2.3
Scott Matlock,2570284,DL,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,369,129,1.90,1.9
DaVon Hamilton,2564190,DL,JAX,NYJ,1.65,1.53,0.06,0.12,,,,,,,,,,,0.12,,,3.75,64,130,1.80,-1.95
Dylan Horton,2569828,DL,HOU,ARI,0.12,0.24,0.12,0.18,,,0.06,,0.06,,,,,,0.18,,0.06,1.23,144,131,1.80,0.57
Desjuan Johnson,2569969,DL,LAR,DET,0.24,0.18,0.06,0.06,,,,,,,,,,,,,,0.68,165,132,1.80,1.12
Joseph Ossai,2565956,DL,CIN,BAL,1.01,0.73,0.23,0.11,,0.06,,,,,,,,0.06,0.68,,,3.28,85,133,1.80,-1.48
Malcolm Roach,2564688,DL,DEN,GB,0.12,0.18,0.12,0.06,,0.06,,,,,,,,,,,,0.83,154,134,1.80,0.97
Byron Young,2570053,DL,PHI,LV,1.35,1.24,0.22,0.22,,0.11,,,,,,,,,,,,3.92,62,135,1.80,-2.12
Marcus Davenport,2561037,DL,DET,@LAR,1.06,0.83,0.17,0.17,,,,,,,,,,,0.56,,,2.96,100,136,1.70,-1.26
Arden Key,2560779,DL,TEN,@SF,1.04,0.74,0.3,0.39,,0.05,0.05,,,,,,,0.1,0.69,,,4.01,56,137,1.70,-2.31
Al-Quadin Muhammad,2558131,DL,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,377,138,1.60,1.6
Keion White,2570107,DL,SF,TEN,0.89,0.38,,,,,,,,,,,,,,,,1.56,134,139,1.60,0.04
Derek Barnett,2557984,DL,HOU,ARI,0.12,0.24,0.12,0.06,,,,,,,,,,,0.18,,,0.74,160,140,1.50,0.76
Keeanu Benton,2570260,DL,PIT,MIA,1.12,1.29,0.12,0.18,,0.06,0.06,,,,,,,0.35,0.47,,,4.34,48,141,1.50,-2.84
Andrew Billings,2555267,DL,CHI,CLE,1.07,0.66,,0.16,,,,,,,,,,,,,,2.24,122,142,1.50,-0.74
Tyler Davis,2572192,DL,LAR,DET,0.24,0.18,,,,,,,,,0.06,,,,,,,0.71,163,143,1.50,0.79
Eddie Goldman,2552489,DL,WAS,@NYG,0.42,0.42,0.06,0.06,,,,,,,,,,,0.12,,,1.15,145,144,1.50,0.35
Tyrion Ingram-Dawkins,2574349,DL,MIN,@DAL,0.18,0.12,0.06,0.18,,,0.06,,0.06,,,,,,,,0.06,1.03,148,145,1.50,0.47
DaQuan Jones,2543504,DL,BUF,@NE,0.68,0.73,0.11,0.23,,,,,,,,,,,0.28,,,2.16,124,146,1.50,-0.66
Logan Lee,2572444,DL,PIT,MIA,,,,,,,,,,,,,,,,,,0.00,349,147,1.50,1.5
Ty Robinson,2574473,DL,PHI,LV,0.92,0.86,0.09,0.12,,,0.06,,,,,,,0.18,0.31,,,2.92,105,148,1.50,-1.42
Khalen Saunders,2562723,DL,NYJ,@JAX,1.09,1.19,0.14,0.14,,,,,,,,,,0.05,0.27,,,3.10,92,149,1.50,-1.6
Kentavius Street,2560885,DL,ATL,@TB,0.11,0.23,,,,,,,,,0.06,,,,,,,0.54,175,150,1.50,0.96
Jay Tufele,2566172,DL,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,461,151,1.50,1.5
Tyrus Wheat,2570885,DL,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,477,152,1.50,1.5
Tyleik Williams,2574122,DL,DET,@LAR,0.51,0.45,0.06,0.11,,,,,,,,,,0.06,0.17,,,1.56,135,153,1.50,-0.06
Jonathan Allen,2557844,DL,MIN,@DAL,1.91,0.79,0.39,0.45,,,,,,,,,,0.06,0.9,,,5.39,26,154,1.20,-4.19
Mike Hall Jr.,2571949,DL,CLE,@CHI,0.12,0.18,0.12,0.12,,,,,0.06,,,,,,0.06,,0.06,0.98,151,155,1.20,0.22
Bryce Huff,2565510,DL,SF,TEN,0.46,0.57,0.17,0.29,,0.06,,,,,,,,0.06,0.4,,,2.37,119,156,1.20,-1.17
McKinnley Jackson,2571925,DL,CIN,BAL,0.12,0.18,,,,,0.06,,,,,,,,,,,0.35,181,157,1.20,0.85
Derrick Nnadi,2560823,DL,KC,LAC,0.82,0.71,0.06,0.06,,,,,,,,,,,0.18,,,1.96,129,158,1.20,-0.76
DJ Reader,2555388,DL,DET,@LAR,0.8,0.8,0.17,0.23,,,,,,,,,,0.06,0.4,,,2.72,111,159,1.20,-1.52
Darius Robinson,2572429,DL,ARI,@HOU,0.71,0.49,0.11,0.09,,0.04,,,,,,,,0.04,0.22,,,2.06,127,160,1.20,-0.86
T.J. Sanders,2573972,DL,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,429,161,1.20,1.2
Khyiris Tonga,2565935,DL,NE,BUF,0.65,0.82,,0.06,,,,,,,,,,,0.06,,,1.59,133,162,1.20,-0.39
Tyquan Lewis,2560791,DL,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,352,163,1.10,1.1
Dawuane Smoot,2557839,DL,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,441,164,1.10,1.1
Vita Vea,2560909,DL,TB,ATL,1.68,0.78,0.36,0.48,,,,,,,,,,,0.66,,,4.76,36,165,1.10,-3.66
Chris Jones,2556369,DL,KC,LAC,1.24,0.71,0.47,0.59,,0.06,,,,,,,,0.18,1.29,,,5.42,25,166,1.00,-4.42
Arik Armstead,2552493,DL,JAX,NYJ,1.12,0.35,0.09,0.12,,,,,,,,,,0.06,0.29,,,2.55,113,167,0.60,-1.95
Michael Danna,2564262,DL,KC,LAC,1.12,0.94,0.18,0.18,,0.06,,,,,,,,0.06,0.59,,,3.53,74,168,0.60,-2.93
Justin Eboigbe,2572468,DL,LAC,@KC,1,0.65,0.18,0.12,,0.06,,,,,,,,,0.59,,,2.94,103,169,0.60,-2.34
Tonka Hemingway,2574294,DL,LV,@PHI,,,,,,,,,,,,,,,,,,0.00,302,170,0.60,0.6
Malcolm Koonce,2566262,DL,LV,@PHI,1.28,0.59,0.25,0.3,,0.1,,,,,,,,,0.79,,,3.97,59,171,0.60,-3.37
James Lynch,2564565,DL,TEN,@SF,0.35,0.18,0.06,0.18,,,,,,,,,,,,,,1.02,149,172,0.60,-0.42
Isaiah McGuire,2569669,DL,CLE,@CHI,0.68,0.56,0.11,0.28,,0.06,,,,,,,,,0.39,,,2.40,118,173,0.60,-1.8
Arron Mosby,2568564,DL,GB,@DEN,0.17,0.23,0.09,0.11,,,,,,,,,,,0.11,,,0.79,157,174,0.60,-0.19
Kwity Paye,2565612,DL,IND,@SEA,1.45,0.54,0.35,0.38,,0.11,0.05,,,,,,,,0.59,,,4.50,46,175,0.60,-3.9
Grover Stewart,2558766,DL,IND,@SEA,1.58,1.63,0.18,0.42,,,0.05,,,,,,,0.11,0.26,,,4.79,35,176,0.60,-4.19
Deone Walker,2573975,DL,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,471,177,0.60,0.6
Eric Watts,2572726,DL,NYJ,@JAX,0.23,0.27,0.09,,,0.05,0.05,,,,,,,,,,,0.91,152,178,0.60,-0.31
Will Anderson Jr.,2569834,DL,HOU,ARI,1.8,0.66,0.6,0.9,,0.12,0.06,,,,,,,0.06,1.32,,,6.94,9,179,0.50,-6.44
Larrell Murchison,2564055,DL,LAR,DET,0.24,0.18,0.06,,,,,,,,,,,,,,,0.59,173,180,0.50,-0.09
Eyioma Uwazurike,2567535,DL,DEN,GB,0.12,0.18,0.12,0.12,,0.06,0.06,,,,,,,,0.06,,,1.01,150,181,0.50,-0.51
Myles Adams,2563620,DL,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,183,182,0.00,0.0
