PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jerrick Reed II,2570332,DB,TEN,@SF,,,,,,,,,,,,,,,,,,0.00,527,526,0.00,0.0
Nikko Reed,2574527,DB,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,528,527,0.00,0.0
Justin Reid,2560851,DB,NO,CAR,,,,,,,,,,,,,,,,,,0.00,529,528,0.00,0.0
Michael Reid,2573998,DB,FA,Bye,,,,,,,,,,,,,,,,,,,530,529,0.00,
Demani Richardson,2572947,DB,CAR,@NO,,,,,,,,,,,,,,,,,,0.00,532,530,0.00,0.0
Eli Ricks,2570641,DB,FA,Bye,,,,,,,,,,,,,,,,,,,533,531,0.00,
JJ Roberts,2574597,DB,TB,ATL,,,,,,,,,,,,,,,,,,0.00,534,532,0.00,0.0
Ethan Robinson,2574331,DB,MIA,@PIT,,,,,,,,,,,,,,,,,,0.00,535,533,0.00,0.0
Jaden Robinson,2574098,DB,DEN,GB,,,,,,,,,,,,,,,,,,0.00,536,534,0.00,0.0
Jakob Robinson,2574545,DB,SF,TEN,,,,,,,,,,,,,,,,,,0.00,537,535,0.00,0.0
Jammie Robinson,2569609,DB,ATL,@TB,,,,,,,,,,,,,,,,,,0.00,538,536,0.00,0.0
Lance Robinson,2573016,DB,FA,Bye,,,,,,,,,,,,,,,,,,,539,537,0.00,
Marquise Robinson,2573949,DB,BAL,@CIN,,,,,,,,,,,,,,,,,,0.00,540,538,0.00,0.0
Micah Robinson,2574136,DB,TEN,@SF,,,,,,,,,,,,,,,,,,0.00,541,539,0.00,0.0
Eric Rogers,2574528,DB,LAC,@KC,,,,,,,,,,,,,,,,,,0.00,543,540,0.00,0.0
Christian Roland-Wallace,2572844,DB,KC,LAC,,,,,,,,,,,,,,,,,,0.00,544,541,0.00,0.0
D'Angelo Ross,2563057,DB,CLE,@CHI,0.1,0.2,,,0.05,,,,,,,,,0.25,,,,1.07,221,542,0.00,-1.07
Davion Ross,2574161,DB,FA,Bye,,,,,,,,,,,,,,,,,,,545,543,0.00,
Darius Rush,2569867,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,546,544,0.00,0.0
Tyson Russell,2574636,DB,FA,Bye,,,,,,,,,,,,,,,,,,,547,545,0.00,
Andre' Sam,2572744,DB,PHI,LV,,,,,,,,,,,,,,,,,,0.00,548,546,0.00,0.0
Shilo Sanders,2574598,DB,FA,Bye,,,,,,,,,,,,,,,,,,,549,547,0.00,
Benny Sapp III,2570503,DB,FA,Bye,,,,,,,,,,,,,,,,,,,550,548,0.00,
John Saunders Jr.,2574332,DB,NE,BUF,,,,,,,,,,,,,,,,,,0.00,551,549,0.00,0.0
Darnell Savage,2562724,DB,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,552,550,0.00,0.0
Daniel Scott,2569852,DB,IND,@SEA,,,,,,,,,,,,,,,,,,0.00,553,551,0.00,0.0
Eric Scott Jr.,2569693,DB,KC,LAC,,,,,,,,,,,,,,,,,,0.00,554,552,0.00,0.0
Kevon Seymour,2555549,DB,WAS,@NYG,,,,,,,,,,,,,,,,,,0.00,555,553,0.00,0.0
Kendall Sheffield,2562730,DB,MIA,@PIT,,,,,,,,,,,,,,,,,,0.00,556,554,0.00,0.0
Duke Shelley,2562957,DB,FA,Bye,,,,,,,,,,,,,,,,,,,557,555,0.00,
Nehemiah Shelton,2571786,DB,FA,Bye,,,,,,,,,,,,,,,,,,,558,556,0.00,
Marques Sigle,2574547,DB,SF,TEN,1.13,0.4,,0.03,,,,,,,,,,0.07,,,,2.16,193,557,0.00,-2.16
Cam'Ron Silmon-Craig,2574231,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,559,558,0.00,0.0
Justin Simmons,2555550,DB,FA,Bye,,,,,,,,,,,,,,,,,,,560,559,0.00,
Jaylin Simpson,2572132,DB,GB,@DEN,,,,,,,,,,,,,,,,,,0.00,561,560,0.00,0.0
JL Skinner,2569714,DB,DEN,GB,,,,,,,,,,,,,,,,,,0.00,562,561,0.00,0.0
Doneiko Slaughter,2574233,DB,FA,Bye,,,,,,,,,,,,,,,,,,,563,562,0.00,
Darius Slay,2540288,DB,FA,Bye,,,,,,,,,,,,,,,,,,,564,563,0.00,
Cam Smith,2570071,DB,FA,Bye,,,,,,,,,,,,,,,,,,,565,564,0.00,
Chris Smith II,2570056,DB,NYJ,@JAX,0.3,0.2,,,,,,,,,,,,0.2,,,,1.07,222,565,0.00,-1.07
Jaylin Smith,2574179,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,566,566,0.00,0.0
Keidron Smith,2571120,DB,NYJ,@JAX,,,,,,,,,,,,,,,,,,0.00,567,567,0.00,0.0
Melvin Smith Jr.,2574257,DB,KC,LAC,,,,,,,,,,,,,,,,,,0.00,568,568,0.00,0.0
Mike Smith Jr.,2574082,DB,FA,Bye,,,,,,,,,,,,,,,,,,,569,569,0.00,
Terell Smith,2569636,DB,CHI,CLE,,,,,,,,,,,,,,,,,,0.00,570,570,0.00,0.0
Tykee Smith,2572555,DB,TB,ATL,,,,,,,,,,,,,,,,,,0.00,571,571,0.00,0.0
L'Jarius Sneed,2564304,DB,TEN,@SF,,,,,,,,,,,,,,,,,,0.00,572,572,0.00,0.0
Ameer Speed,2570113,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,573,573,0.00,0.0
M.J. Stewart,2560884,DB,HOU,ARI,,,,,,,,,,,,,,,,,,0.00,575,574,0.00,0.0
Loren Strickland,2573145,DB,DET,@LAR,,,,,,,,,,,,,,,,,,0.00,576,575,0.00,0.0
Dorian Strong,2573974,DB,BUF,@NE,,,,,,,,,,,,,,,,,,0.00,577,576,0.00,0.0
Jonathan Sutherland,2571390,DB,FA,Bye,,,,,,,,,,,,,,,,,,,578,577,0.00,
Tre Swilling,2568849,DB,FA,Bye,,,,,,,,,,,,,,,,,,,579,578,0.00,
Keith Taylor,2565911,DB,JAX,NYJ,,,,,,,,,,,,,,,,,,0.00,581,579,0.00,0.0
