PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Malcolm Rodriguez,2567562,LB,DET,@MIN,2,1.15,0.08,0.23,,0.08,0.08,,,,,,,0.08,0.15,,,4.83,97,103,3.60,-1.23
Chad Muma,2567760,LB,NE,@NYJ,1.46,0.57,0.05,0.09,,,,,,,,,,,0.09,,,2.81,132,104,3.30,0.49
Cameron Thomas,2568129,LB,CLE,PIT,0.12,0.18,0.09,0.18,,0.06,,,,,,,,,0.06,,,0.98,180,105,3.30,2.32
Troy Dye,2564535,LB,LAC,HOU,3.48,2.16,0.3,0.24,,,,,,,,,,,0.36,,,7.66,60,106,3.10,-4.56
Tyler Batty,2574338,LB,MIN,DET,0.53,0.35,,,,,,,,,,,,,,,,1.01,178,107,3.00,1.99
Damone Clark,2567493,LB,HOU,@LAC,1.77,1.06,0.05,0.1,,,,,,,,,,0.1,0.15,,,3.87,116,108,3.00,-0.87
Christian Elliss,2567004,LB,NE,@NYJ,2.43,2.1,0.19,0.09,0.05,0.05,0.05,,,,,,,0.28,0.51,,,6.78,73,109,3.00,-3.78
BJ Ojulari,2570233,LB,ARI,@CIN,1.23,0.8,0.18,0.18,,,,,,,,,,0.06,0.31,,,3.26,124,110,3.00,-0.26
E.J. Speed,2562955,LB,HOU,@LAC,2.15,0.9,0.05,0.05,,,,,,,,,,0.2,0.05,,,4.47,103,111,3.00,-1.47
Drake Thomas,2571105,LB,SEA,@CAR,3.26,1.68,0.31,0.26,,,,,,,,,,0.26,0.44,,,7.78,57,112,3.00,-4.78
James Williams,2572078,LB,TEN,NO,2.04,1.02,,0.06,,,0.06,,,,,,,0.06,0.06,,,4.00,113,113,3.00,-1.0
Cody Barton,2562472,LB,TEN,NO,3.59,3.19,0.06,0.17,0.06,0.06,0.06,,,,,,,0.22,0.17,1.29,,8.83,39,114,2.70,-6.13
Mohamoud Diabate,2570849,LB,CLE,PIT,1.55,1.06,,0.2,,,,,,,,,,0.08,,,,3.46,119,115,2.70,-0.76
Cameron Goode,2567892,LB,MIA,TB,0.29,0.24,,,,,,,,,,,,,,,,0.58,193,116,2.70,2.12
Roquan Smith,2560877,LB,BAL,@GB,4.19,3.73,0.05,0.2,0.05,0.05,,,,,,,,0.26,0.2,,,10.02,20,117,2.70,-7.32
Princely Umanmielen,2574003,LB,CAR,SEA,0.82,0.47,0.21,0.18,,,0.06,,,,,,,,0.47,,,2.50,136,118,2.70,0.2
Nick Herbig,2570248,LB,PIT,@CLE,1.93,1.19,0.55,0.55,,0.28,0.09,,,,,,,,1.19,,,7.20,64,119,2.50,-4.7
Quinton Bell,2562908,LB,MIA,TB,0.27,0.21,,0.11,,,,,,,,,,,,,,0.70,190,120,2.20,1.5
Jeffrey Bassa,2574239,LB,KC,DEN,0.59,0.29,0.09,,,0.06,0.06,,,,,,,0.06,,,,1.66,157,121,2.10,0.44
Zaven Collins,2566421,LB,ARI,@CIN,2.57,1.07,0.21,0.43,,0.07,,,,,,,,0.29,0.43,,,6.75,74,122,2.10,-4.65
Smael Mondon Jr.,2574467,LB,PHI,@BUF,0.53,0.35,0.09,0.12,,,,,,,,,,0.18,,,,1.82,152,123,2.10,0.28
Troy Reeder,2563313,LB,LAR,@ATL,0.77,0.67,,,,,,,,,,,,0.03,,,,1.63,160,124,2.10,0.47
Jonathon Cooper,2566028,LB,DEN,@KC,2.24,1.53,0.47,0.53,,0.06,,,,,,,,0.06,1.12,,,6.93,68,125,2.00,-4.93
Bam Martin-Scott,2573991,LB,CAR,SEA,0.41,0.29,0.06,0.12,,,,,,,,,,,,,,1.09,176,126,1.80,0.71
Cooper McDonald,2574250,LB,KC,DEN,,,,,,,,,,,,,,,,,,0.00,302,127,1.80,1.8
"Kenneth Murray, Jr.",2565063,LB,DAL,@WAS,1.9,1.26,0.1,0.23,0.03,,,,,,,,,0.1,0.16,,,4.59,100,128,1.80,-2.79
Mykal Walker,2563530,LB,NYJ,NE,0.51,0.8,,0.11,,0.06,,,,,,,,,,,,1.62,161,129,1.80,0.18
Baron Browning,2566025,LB,ARI,@CIN,1.11,0.68,0.28,0.43,0.06,,0.06,,,,,,,0.06,0.62,,,4.01,111,130,1.50,-2.51
D'Marco Jackson,2567967,LB,CHI,@SF,1.48,0.71,0.11,0.22,0.05,0.05,,,,,,,,0.16,0.11,,,4.00,112,131,1.50,-2.5
Tyrice Knight,2572525,LB,SEA,@CAR,1.16,0.77,0.04,0.08,,0.02,0.02,,,,,,,0.05,0.11,,,2.67,134,132,1.50,-1.17
Connor O'Toole,2574571,LB,SEA,@CAR,,,,,,,,,,,,,,,,,,0.00,319,133,1.50,1.5
Segun Olubi,2569263,LB,IND,JAX,2.06,0.76,,0.06,,0.06,0.06,,,,,,,,,,,3.91,115,134,1.50,-2.41
Odafe Oweh,2565848,LB,LAC,HOU,1.42,0.83,0.47,0.42,,0.12,,,,,,,,,1.07,,,5.15,93,135,1.50,-3.65
Ivan Pace Jr.,2571210,LB,MIN,DET,3.37,1.99,0.17,0.33,0.06,0.06,0.06,,,,,,,0.11,0.44,0.39,,8.07,53,136,1.50,-6.57
Isaiah Simmons,2564940,LB,CAR,SEA,1.04,0.94,0.05,0.1,0.05,0.05,0.05,,,,,,,0.16,0.16,,,3.25,125,137,1.50,-1.75
Shaun Dolac,2574264,LB,LAR,@ATL,0.77,0.41,,0.18,,,,,,,,,,0.18,,,,2.12,143,138,1.20,-0.92
Jay Higgins,2573930,LB,BAL,@GB,0.43,0.38,,,,,,,,,,,,,,,,0.87,183,139,1.20,0.33
Owen Pappoe,2570227,LB,ARI,@CIN,0.53,0.82,,0.12,,0.06,,,,,,,,,0.06,,,1.71,156,140,1.20,-0.51
Dorian Williams,2569582,LB,BUF,PHI,1.82,1.32,0.03,0.15,,0.03,0.03,,,,,,,0.03,0.09,,,4.06,110,141,1.20,-2.86
K.J. Britt,2566559,LB,MIA,TB,1.44,0.67,,0.1,,,,,,,,,,0.1,0.1,,,3.01,130,142,1.10,-1.91
Shaka Heyward,2570831,LB,CIN,ARI,,,,,,,,,,,,,,,,,,0.00,258,143,1.10,1.1
Jihad Ward,2555248,LB,TEN,NO,0.94,0.59,,,,,,,,,,,,,,,,1.76,153,144,1.10,-0.66
Oren Burks,2560984,LB,CIN,ARI,2.11,0.91,0.07,0.14,,0.07,,,,,,,,0.21,0.28,,,4.97,96,145,0.60,-4.37
Jaylon Carlies,2572114,LB,IND,JAX,3.19,1.24,0.06,0.18,,,,,,,,,,0.12,0.18,,,6.31,80,146,0.60,-5.71
Cole Christiansen,2565021,LB,KC,DEN,,,,,,,,,,,,,,,,,,0.00,221,147,0.60,0.6
Jacob Hummel,2569390,LB,BAL,@GB,0.47,0.41,,0.18,,,,,,,,,,,,,,1.22,171,148,0.60,-0.62
Thomas Incoom,2570921,LB,CAR,SEA,0.41,0.29,,,,,,,,,,,,,,,,0.79,186,149,0.60,-0.19
Cam Jones,2570728,LB,NYJ,NE,0.59,0.29,,,,0.06,0.06,,,,,,,0.06,,,,1.48,163,150,0.60,-0.88
Carl Jones,2572959,LB,BAL,@GB,0.85,0.45,,0.15,,0.05,,,,,,,,0.05,,,,2.07,146,151,0.60,-1.47
Deion Jones,2555162,LB,TB,@MIA,0.77,0.41,,,,,,,,,,,,0.06,,,,1.55,162,152,0.60,-0.95
Marist Liufau,2571979,LB,DAL,@WAS,1.98,1.21,0.14,0.28,0.06,0.06,0.06,0.06,,,,,,0.28,0.28,,,5.96,84,153,0.60,-5.36
Ventrell Miller,2569906,LB,JAX,@IND,1.52,0.67,,0.11,,0.04,0.04,,,,,,,0.07,,,,3.20,127,154,0.60,-2.6
Jeremiah Moon,2567292,LB,PIT,@CLE,0.46,0.36,,,,,,,,,,,,,,,,0.91,181,155,0.60,-0.31
David Ojabo,2567301,LB,BAL,@GB,0.47,0.35,0.2,0.12,,0.06,,,,,,,,,0.47,,,1.94,148,156,0.60,-1.34
Jon Rhattigan,2567127,LB,LV,NYG,0.39,0.28,,,,,,,,,,,,,,,,0.75,189,157,0.60,-0.15
Chop Robinson,2572252,LB,MIA,TB,1.06,0.77,0.53,0.59,,0.06,0.06,,,,,,,0.35,1.06,,,5.67,88,158,0.60,-5.07
Noah Sewell,2569633,LB,CHI,@SF,0.77,0.47,,0.08,,0.03,,,,,,,,,,,,1.66,158,159,0.60,-1.06
Nolan Smith,2570212,LB,PHI,@BUF,1.46,1.29,0.39,0.45,,0.11,0.11,,,,,,,0.23,0.9,,,5.94,85,160,0.60,-5.34
Josh Sweat,2560889,LB,ARI,@CIN,1.8,0.51,0.62,0.68,,0.23,0.06,,,,,,,,1.07,,,6.67,76,161,0.60,-6.07
Sione Takitaki,2562753,LB,MIN,DET,,,,,,,,,,,,,,,,,,0.00,366,162,0.60,0.6
Channing Tindall,2567898,LB,ARI,@CIN,0.32,0.21,,0.16,,,,,,,,,,0.11,0.11,,,1.18,173,163,0.60,-0.58
Yasir Abdullah,2569891,LB,JAX,@IND,0.37,0.14,0.02,0.02,,,,,,,,,,0.01,0.05,,,0.76,188,164,0.00,-0.76
Mitchell Agude,2571111,LB,FA,Bye,,,,,,,,,,,,,,,,,,,194,165,0.00,
Austin Ajiake,2571766,LB,IND,JAX,0.57,0.29,,0.36,,,,,,,,,,,0.14,,,1.64,159,166,0.00,-1.64
Troy Andersen,2567235,LB,ATL,LAR,,,,,,,,,,,,,,,,,,0.00,195,167,0.00,0.0
Liam Anderson,2570521,LB,CIN,ARI,,,,,,,,,,,,,,,,,,0.00,196,168,0.00,0.0
Joe Andreessen,2573632,LB,BUF,PHI,0.53,0.35,,0.18,,0.12,0.06,0.06,,,,,,,,,,2.00,147,169,0.00,-2.0
Kam Arnold,2574604,LB,KC,DEN,,,,,,,,,,,,,,,,,,0.00,197,170,0.00,0.0
Brian Asamoah II,2567901,LB,CIN,ARI,,,,,,,,,,,,,,,,,,0.00,198,171,0.00,0.0
Eugene Asante,2574317,LB,ATL,LAR,,,,,,,,,,,,,,,,,,0.00,199,172,0.00,0.0
Joe Bachie,2564661,LB,TEN,NO,0.41,0.19,0.01,0.02,0.01,,,,,,,,,0.02,0.02,0.11,,0.88,182,173,0.00,-0.88
Levelle Bailey,2573079,LB,DEN,@KC,,,,,,,,,,,,,,,,,,0.00,200,174,0.00,0.0
